PhraseType	ApplicableConcept	Phrase	FowardWindow / RequiresPromotion	BackWindow/Inhibitable	ConceptPhrase Overrides Raptat Assigned	Comment
inhibitor	kidneystatus	bladder	5	6		"Only tag stones, cysts, masses, etc if close to a term like kidney, renal, etc but not another organ"
inhibitor	kidneystatus	bowel	5	6		"Only tag stones, cysts, masses, etc if close to a term like kidney, renal, etc but not another organ"
inhibitor	kidneystatus	cardiac	5	6		"Only tag stones, cysts, masses, etc if close to a term like kidney, renal, etc but not another organ"
inhibitor	kidneystatus	colon	5	6		"Only tag stones, cysts, masses, etc if close to a term like kidney, renal, etc but not another organ"
inhibitor	kidneystatus	heart	5	6		"Only tag stones, cysts, masses, etc if close to a term like kidney, renal, etc but not another organ"
inhibitor	kidneystatus	hepatic	5	6		"Only tag stones, cysts, masses, etc if close to a term like kidney, renal, etc but not another organ"
inhibitor	kidneystatus	intestinal	5	6		"Only tag stones, cysts, masses, etc if close to a term like kidney, renal, etc but not another organ"
inhibitor	kidneystatus	intestine	5	6		"Only tag stones, cysts, masses, etc if close to a term like kidney, renal, etc but not another organ"
inhibitor	kidneystatus	liver	5	6		"Only tag stones, cysts, masses, etc if close to a term like kidney, renal, etc but not another organ"
inhibitor	kidneystatus	lung	5	6		"Only tag stones, cysts, masses, etc if close to a term like kidney, renal, etc but not another organ"
inhibitor	kidneystatus	lungs	5	6		"Only tag stones, cysts, masses, etc if close to a term like kidney, renal, etc but not another organ"
inhibitor	kidneystatus	ovaries	5	6		"Only tag stones, cysts, masses, etc if close to a term like kidney, renal, etc but not another organ"
inhibitor	kidneystatus	ovary	5	6		"Only tag stones, cysts, masses, etc if close to a term like kidney, renal, etc but not another organ"
inhibitor	kidneystatus	pancreas	5	6		"Only tag stones, cysts, masses, etc if close to a term like kidney, renal, etc but not another organ"
inhibitor	kidneystatus	pancreatic	5	6		"Only tag stones, cysts, masses, etc if close to a term like kidney, renal, etc but not another organ"
inhibitor	kidneystatus	urinary	5	6		"Only tag stones, cysts, masses, etc if close to a term like kidney, renal, etc but not another organ"
